,sepal_length,sepal_width,petal_length,petal_width,cluster,u0,u1,u2
0,5.1,3.5,1.4,0.2,2,-2.1874194045328794e-10,-1.551751601861382e-10,1.0000000000940374
1,4.9,3.0,1.4,0.2,2,-2.1914846038427325e-10,-1.5015151167489024e-10,1.000000000089526
2,4.7,3.2,1.3,0.2,2,-2.2130213554615642e-10,-1.6482605159239792e-10,1.0000000001063403
3,4.6,3.1,1.5,0.2,2,-2.195505161925423e-10,-1.5113365838112482e-10,1.0000000000909577
4,5.0,3.6,1.4,0.2,2,-2.1937173464622425e-10,-1.5902644535818435e-10,1.0000000000985296
5,5.4,3.9,1.7,0.4,2,-2.105845853532259e-10,-1.2014599942772012e-10,1.0000000000511269
6,4.6,3.4,1.4,0.3,2,-2.2050760150486346e-10,-1.6088331182457954e-10,1.0000000001016045
7,5.0,3.4,1.5,0.2,2,-2.1783235442029286e-10,-1.476793815478513e-10,1.000000000085621
8,4.4,2.9,1.4,0.2,2,-2.2123994035604696e-10,-1.5916377202413674e-10,1.0000000001009075
9,4.9,3.1,1.5,0.1,2,-2.1855656828200417e-10,-1.4725709135966694e-10,1.0000000000860039
10,5.4,3.7,1.5,0.2,2,-2.1577982602292368e-10,-1.440269334286387e-10,1.000000000080061
11,4.8,3.4,1.6,0.2,2,-2.1759053188789593e-10,-1.441169151507551e-10,1.0000000000818536
12,4.8,3.0,1.4,0.1,2,-2.201121317490605e-10,-1.5545934716810248e-10,1.0000000000958282
13,4.3,3.0,1.1,0.1,2,-2.239851824054065e-10,-1.8085592399649077e-10,1.0000000001254592
14,5.8,4.0,1.2,0.2,2,-2.182263038893318e-10,-1.6336419588133764e-10,1.0000000001023412
15,5.7,4.4,1.5,0.4,2,-2.1324705547464608e-10,-1.4451752213046834e-10,1.0000000000787816
16,5.4,3.9,1.3,0.4,2,-2.1781702094348039e-10,-1.5744986660919487e-10,1.0000000000956453
17,5.1,3.5,1.4,0.3,2,-2.1818510852857802e-10,-1.5214978735008646e-10,1.000000000090456
18,5.7,3.8,1.7,0.3,2,-2.083525343748864e-10,-1.1085437121792304e-10,1.0000000000397382
19,5.1,3.8,1.5,0.3,2,-2.1720039442070322e-10,-1.5011517358123153e-10,1.000000000087521
20,5.4,3.4,1.7,0.2,2,-2.113991284603649e-10,-1.1465871673104182e-10,1.0000000000462967
21,5.1,3.7,1.5,0.4,2,-2.1640239062720693e-10,-1.4470103142011884e-10,1.000000000081281
22,4.6,3.6,1.0,0.2,2,-2.2398260205374252e-10,-1.8582480001417502e-10,1.0000000001301712
23,5.1,3.3,1.7,0.5,2,-2.1109590302009909e-10,-1.0693553074966787e-10,1.0000000000382276
24,4.8,3.4,1.9,0.2,2,-2.1243364044250184e-10,-1.1139105110612047e-10,1.000000000044077
25,5.0,3.0,1.6,0.2,2,-2.1571943800200483e-10,-1.2868748206570578e-10,1.0000000000646347
26,5.0,3.4,1.6,0.4,2,-2.149398699269477e-10,-1.3073380655903542e-10,1.0000000000658074
27,5.2,3.5,1.5,0.2,2,-2.1677602486944314e-10,-1.4481013096647788e-10,1.0000000000817226
28,5.2,3.4,1.4,0.2,2,-2.1806924300178853e-10,-1.5105502997065322e-10,1.0000000000892586
29,4.7,3.2,1.6,0.2,2,-2.1789015189820092e-10,-1.4230858682256114e-10,1.0000000000804057
30,4.8,3.1,1.6,0.2,2,-2.1716177281353763e-10,-1.3725161820742992e-10,1.0000000000746219
31,5.4,3.4,1.5,0.4,2,-2.1374243037035368e-10,-1.289240782138686e-10,1.0000000000628855
32,5.2,4.1,1.5,0.1,2,-2.1823541930713737e-10,-1.5938917423138326e-10,1.0000000000980562
33,5.5,4.2,1.4,0.2,2,-2.1744702739859958e-10,-1.5919418950840896e-10,1.000000000097281
34,4.9,3.1,1.5,0.1,2,-2.1855656828200417e-10,-1.4725709135966694e-10,1.0000000000860039
35,5.0,3.2,1.2,0.2,2,-2.2107997074105001e-10,-1.655897611789908e-10,1.0000000001068505
36,5.5,3.5,1.3,0.2,2,-2.178762715420055e-10,-1.539208333539003e-10,1.000000000092077
37,4.9,3.1,1.5,0.1,2,-2.1855656828200417e-10,-1.4725709135966694e-10,1.0000000000860039
38,4.4,3.0,1.3,0.2,2,-2.2218585789750698e-10,-1.671351046441222e-10,1.0000000001097809
39,5.1,3.4,1.5,0.2,2,-2.1724444058292188e-10,-1.4519810891437343e-10,1.0000000000825573
40,5.0,3.5,1.3,0.3,2,-2.1991629147983117e-10,-1.6141115737585257e-10,1.0000000001014573
41,4.5,2.3,1.3,0.3,2,-2.2081532172445264e-10,-1.504430532682664e-10,1.000000000092315
42,4.4,3.2,1.3,0.2,2,-2.2234562370796951e-10,-1.6998505427080505e-10,1.000000000112712
43,5.0,3.5,1.6,0.6,2,-2.1355314342687089e-10,-1.2463452916441027e-10,1.0000000000583888
44,5.1,3.8,1.9,0.4,2,-2.0850548213870635e-10,-1.0163117263534956e-10,1.000000000030472
45,4.8,3.0,1.4,0.3,2,-2.1913183709958703e-10,-1.492827855962508e-10,1.0000000000886604
46,5.1,3.8,1.6,0.2,2,-2.163286634464337e-10,-1.45107257640115e-10,1.0000000000816514
47,4.6,3.2,1.4,0.2,2,-2.2073693703202736e-10,-1.602437039120714e-10,1.0000000001012228
48,5.3,3.7,1.5,0.2,2,-2.1644378828837573e-10,-1.4655253762458016e-10,1.0000000000832079
