sepal_length,sepal_width,petal_length,petal_width,cluster,u1,u2,u3,J,F,F2
5.1,3.5,1.4,0.2,2,1.3055008914641526e-10,1.0373399066677182e-05,0.9999896264703833,62.0621010068738,137.16736220038644,65.39280535070297
4.9,3.0,1.4,0.2,2,9.811975811602868e-11,1.4297782902532136e-05,0.9999857021189776,62.0621010068738,137.16736220038644,65.39280535070297
4.7,3.2,1.3,0.2,2,1.905781567416532e-11,4.327090589856208e-06,0.9999956728903524,62.0621010068738,137.16736220038644,65.39280535070297
4.6,3.1,1.5,0.2,2,7.376430408146782e-11,1.3230439657317487e-05,0.9999867694865784,62.0621010068738,137.16736220038644,65.39280535070297
5.0,3.6,1.4,0.2,2,8.611842776404561e-11,7.622765054173021e-06,0.9999923771488274,62.0621010068738,137.16736220038644,65.39280535070297
5.4,3.9,1.7,0.4,2,5.8764362573939235e-09,9.28703474208238e-05,0.9999071237761428,62.0621010068738,137.16736220038644,65.39280535070297
4.6,3.4,1.4,0.3,2,3.669928811714848e-11,6.27023641248672e-06,0.9999937297268882,62.0621010068738,137.16736220038644,65.39280535070297
5.0,3.4,1.5,0.2,2,2.2554220623077664e-10,1.77763452546861e-05,0.9999822234292032,62.0621010068738,137.16736220038644,65.39280535070297
4.4,2.9,1.4,0.2,2,1.957885890199445e-11,6.839960844802915e-06,0.9999931600195764,62.0621010068738,137.16736220038644,65.39280535070297
4.9,3.1,1.5,0.1,2,1.4431803664677586e-10,1.7660663520743456e-05,0.9999823391921612,62.0621010068738,137.16736220038644,65.39280535070297
5.4,3.7,1.5,0.2,2,6.896182096868185e-10,2.388416145804044e-05,0.9999761151489238,62.0621010068738,137.16736220038644,65.39280535070297
4.8,3.4,1.6,0.2,2,2.5703804815897386e-10,2.238490910873654e-05,0.9999776148338532,62.0621010068738,137.16736220038644,65.39280535070297
4.8,3.0,1.4,0.1,2,4.9674301112220986e-11,9.506487135324136e-06,0.9999904934631904,62.0621010068738,137.16736220038644,65.39280535070297
4.3,3.0,1.1,0.1,2,8.152435468104427e-13,7.003167564765307e-07,0.9999992996824284,62.0621010068738,137.16736220038644,65.39280535070297
5.8,4.0,1.2,0.2,2,1.8751275195717336e-10,5.649570650621866e-06,0.9999943502418366,62.0621010068738,137.16736220038644,65.39280535070297
5.7,4.4,1.5,0.4,2,2.1841976557156634e-09,2.5194943749605052e-05,0.9999748028720526,62.0621010068738,137.16736220038644,65.39280535070297
5.4,3.9,1.3,0.4,2,2.332694568117144e-10,9.163960949230108e-06,0.9999908358057812,62.0621010068738,137.16736220038644,65.39280535070297
5.1,3.5,1.4,0.3,2,1.8391917157849022e-10,1.3106878342072516e-05,0.9999868929377388,62.0621010068738,137.16736220038644,65.39280535070297
5.7,3.8,1.7,0.3,2,1.2430128068500534e-08,0.0001417192728374,0.9998582682970344,62.0621010068738,137.16736220038644,65.39280535070297
5.1,3.8,1.5,0.3,2,3.260089348616097e-10,1.5650942972461445e-05,0.9999843487310186,62.0621010068738,137.16736220038644,65.39280535070297
5.4,3.4,1.7,0.2,2,4.3745715766657314e-09,0.0001136060163042,0.999886389609124,62.0621010068738,137.16736220038644,65.39280535070297
5.1,3.7,1.5,0.4,2,4.965740325870699e-10,2.260764155427096e-05,0.9999773918618716,62.0621010068738,137.16736220038644,65.39280535070297
4.6,3.6,1.0,0.2,2,8.84511859802549e-13,3.746278896426988e-07,0.9999996253712258,62.0621010068738,137.16736220038644,65.39280535070297
5.1,3.3,1.7,0.5,2,4.797883063944147e-09,0.0001553265466245,0.9998446686554924,62.0621010068738,137.16736220038644,65.39280535070297
4.8,3.4,1.9,0.2,2,2.890156082440094e-09,0.0001271400812417,0.9998728570286022,62.0621010068738,137.16736220038644,65.39280535070297
5.0,3.0,1.6,0.2,2,6.904960042492963e-10,5.417985277903389e-05,0.999945819456725,62.0621010068738,137.16736220038644,65.39280535070297
5.0,3.4,1.6,0.4,2,1.002856315592753e-09,5.063426323086869e-05,0.9999493647339128,62.0621010068738,137.16736220038644,65.39280535070297
5.2,3.5,1.5,0.2,2,4.1008228090295286e-10,2.2031543100822405e-05,0.9999779680468168,62.0621010068738,137.16736220038644,65.39280535070297
5.2,3.4,1.4,0.2,2,1.979054808797824e-10,1.4116570643686916e-05,0.9999858832314508,62.0621010068738,137.16736220038644,65.39280535070297
4.7,3.2,1.6,0.2,2,2.143056932158952e-10,2.4578752731983865e-05,0.9999754210329624,62.0621010068738,137.16736220038644,65.39280535070297
4.8,3.1,1.6,0.2,2,3.248718874429889e-10,3.3447659585462407e-05,0.9999665520155429,62.0621010068738,137.16736220038644,65.39280535070297
5.4,3.4,1.5,0.4,2,1.7298797067709915e-09,5.6973063251355845e-05,0.999943025206869,62.0621010068738,137.16736220038644,65.39280535070297
5.2,4.1,1.5,0.1,2,1.8221625701739948e-10,7.809825233364874e-06,0.9999921899925504,62.0621010068738,137.16736220038644,65.39280535070297
5.5,4.2,1.4,0.2,2,2.9210275616131275e-10,8.159031629130033e-06,0.999991840676268,62.0621010068738,137.16736220038644,65.39280535070297
4.9,3.1,1.5,0.1,2,1.4431803664677586e-10,1.7660663520743456e-05,0.9999823391921612,62.0621010068738,137.16736220038644,65.39280535070297
5.0,3.2,1.2,0.2,2,2.344646645639237e-11,4.0902756304169e-06,0.9999959097009232,62.0621010068738,137.16736220038644,65.39280535070297
5.5,3.5,1.3,0.2,2,2.2519386364639301e-10,1.1672082553421926e-05,0.9999883276922528,62.0621010068738,137.16736220038644,65.39280535070297
4.9,3.1,1.5,0.1,2,1.4431803664677586e-10,1.7660663520743456e-05,0.9999823391921612,62.0621010068738,137.16736220038644,65.39280535070297
4.4,3.0,1.3,0.2,2,8.08275205039056e-12,3.353197850990857e-06,0.9999966467940662,62.0621010068738,137.16736220038644,65.39280535070297
5.1,3.4,1.5,0.2,2,3.1622931152740485e-10,2.115983864855933e-05,0.999978839845122,62.0621010068738,137.16736220038644,65.39280535070297
5.0,3.5,1.3,0.3,2,5.855056891327084e-11,6.171253498457193e-06,0.999993828687951,62.0621010068738,137.16736220038644,65.39280535070297
4.5,2.3,1.3,0.3,2,2.757575783894465e-11,1.2872845838014164e-05,0.9999871271265862,62.0621010068738,137.16736220038644,65.39280535070297
4.4,3.2,1.3,0.2,2,6.91427397246449e-12,2.5655632066959034e-06,0.999997434429879,62.0621010068738,137.16736220038644,65.39280535070297
5.0,3.5,1.6,0.6,2,1.840880179795995e-09,7.070597504092483e-05,0.9999292921840788,62.0621010068738,137.16736220038644,65.39280535070297
5.1,3.8,1.9,0.4,2,1.156891912470668e-08,0.0002003871337367,0.999799601297344,62.0621010068738,137.16736220038644,65.39280535070297
4.8,3.0,1.4,0.3,2,9.858965254732133e-11,1.5176664795101613e-05,0.9999848232366152,62.0621010068738,137.16736220038644,65.39280535070297
5.1,3.8,1.6,0.2,2,5.184403702969746e-10,2.2101201653329743e-05,0.9999778982799064,62.0621010068738,137.16736220038644,65.39280535070297
4.6,3.2,1.4,0.2,2,3.045226105079789e-11,6.486064373559649e-06,0.9999935139051742,62.0621010068738,137.16736220038644,65.39280535070297
5.3,3.7,1.5,0.2,2,4.91852192614899e-10,2.0065053058865568e-05,0.9999799344550888,62.0621010068738,137.16736220038644,65.39280535070297
5.0,3.3,1.4,0.2,2,1.0884637698420048e-10,1.139006236552906e-05,0.999988609828788,62.0621010068738,137.16736220038644,65.39280535070297
7.0,3.2,4.7,1.4,0,0.61747957105893,0.382520155095065,2.738460049155525e-07,62.0621010068738,137.16736220038644,65.39280535070297
6.4,3.2,4.5,1.5,1,0.2994474953359913,0.7005489100327652,3.594631243361543e-06,62.0621010068738,137.16736220038644,65.39280535070297
6.9,3.1,4.9,1.5,0,0.6949754533577257,0.3050244901192655,5.652300863069593e-08,62.0621010068738,137.16736220038644,65.39280535070297
5.5,2.3,4.0,1.3,1,0.0150421297085446,0.9847480806681288,0.0002097896233267,62.0621010068738,137.16736220038644,65.39280535070297
6.5,2.8,4.6,1.5,1,0.3358730394738617,0.664126021270349,9.392557892162494e-07,62.0621010068738,137.16736220038644,65.39280535070297
5.7,2.8,4.5,1.3,1,0.0804027671760351,0.9195823010628272,1.4931761137676362e-05,62.0621010068738,137.16736220038644,65.39280535070297
6.3,3.3,4.7,1.6,1,0.4028233078296321,0.5971756555177349,1.036652632888884e-06,62.0621010068738,137.16736220038644,65.39280535070297
