sepal_length,sepal_width,petal_length,petal_width,cluster,u0,u1,u2
5.1,3.5,1.4,0.2,2.0,-2.1874194045328794e-10,-1.5517516018613818e-10,1.0000000000940374
4.9,3.0,1.4,0.2,2.0,-2.1914846038427322e-10,-1.5015151167489024e-10,1.000000000089526
4.7,3.2,1.3,0.2,2.0,-2.213021355461564e-10,-1.6482605159239792e-10,1.0000000001063405
4.6,3.1,1.5,0.2,2.0,-2.1955051619254228e-10,-1.5113365838112482e-10,1.0000000000909577
5.0,3.6,1.4,0.2,2.0,-2.1937173464622422e-10,-1.5902644535818435e-10,1.0000000000985296
5.4,3.9,1.7,0.4,2.0,-2.1058458535322589e-10,-1.2014599942772012e-10,1.0000000000511269
4.6,3.4,1.4,0.3,2.0,-2.2050760150486343e-10,-1.6088331182457954e-10,1.0000000001016045
5.0,3.4,1.5,0.2,2.0,-2.1783235442029286e-10,-1.4767938154785128e-10,1.000000000085621
4.4,2.9,1.4,0.2,2.0,-2.2123994035604694e-10,-1.5916377202413674e-10,1.0000000001009075
4.9,3.1,1.5,0.1,2.0,-2.1855656828200415e-10,-1.4725709135966694e-10,1.000000000086004
5.4,3.7,1.5,0.2,2.0,-2.1577982602292368e-10,-1.4402693342863869e-10,1.000000000080061
4.8,3.4,1.6,0.2,2.0,-2.1759053188789595e-10,-1.4411691515075509e-10,1.0000000000818536
4.8,3.0,1.4,0.1,2.0,-2.2011213174906049e-10,-1.5545934716810248e-10,1.0000000000958282
4.3,3.0,1.1,0.1,2.0,-2.2398518240540648e-10,-1.808559239964908e-10,1.0000000001254592
5.8,4.0,1.2,0.2,2.0,-2.1822630388933178e-10,-1.6336419588133764e-10,1.0000000001023412
5.7,4.4,1.5,0.4,2.0,-2.1324705547464606e-10,-1.4451752213046834e-10,1.0000000000787816
5.4,3.9,1.3,0.4,2.0,-2.1781702094348039e-10,-1.5744986660919487e-10,1.0000000000956453
5.1,3.5,1.4,0.3,2.0,-2.18185108528578e-10,-1.5214978735008646e-10,1.000000000090456
5.7,3.8,1.7,0.3,2.0,-2.0835253437488638e-10,-1.1085437121792304e-10,1.0000000000397382
5.1,3.8,1.5,0.3,2.0,-2.172003944207032e-10,-1.501151735812315e-10,1.000000000087521
5.4,3.4,1.7,0.2,2.0,-2.113991284603649e-10,-1.1465871673104182e-10,1.0000000000462967
5.1,3.7,1.5,0.4,2.0,-2.164023906272069e-10,-1.4470103142011884e-10,1.000000000081281
4.6,3.6,1.0,0.2,2.0,-2.2398260205374247e-10,-1.8582480001417502e-10,1.0000000001301712
5.1,3.3,1.7,0.5,2.0,-2.1109590302009906e-10,-1.0693553074966787e-10,1.0000000000382276
4.8,3.4,1.9,0.2,2.0,-2.1243364044250184e-10,-1.1139105110612047e-10,1.000000000044077
5.0,3.0,1.6,0.2,2.0,-2.1571943800200483e-10,-1.2868748206570578e-10,1.0000000000646347
5.0,3.4,1.6,0.4,2.0,-2.1493986992694767e-10,-1.3073380655903542e-10,1.0000000000658074
5.2,3.5,1.5,0.2,2.0,-2.1677602486944316e-10,-1.4481013096647788e-10,1.0000000000817226
5.2,3.4,1.4,0.2,2.0,-2.180692430017885e-10,-1.5105502997065322e-10,1.0000000000892586
4.7,3.2,1.6,0.2,2.0,-2.1789015189820087e-10,-1.4230858682256114e-10,1.0000000000804057
4.8,3.1,1.6,0.2,2.0,-2.1716177281353763e-10,-1.3725161820742992e-10,1.000000000074622
5.4,3.4,1.5,0.4,2.0,-2.1374243037035368e-10,-1.2892407821386858e-10,1.0000000000628857
5.2,4.1,1.5,0.1,2.0,-2.1823541930713734e-10,-1.5938917423138326e-10,1.0000000000980562
5.5,4.2,1.4,0.2,2.0,-2.174470273985996e-10,-1.5919418950840896e-10,1.000000000097281
4.9,3.1,1.5,0.1,2.0,-2.1855656828200415e-10,-1.4725709135966694e-10,1.000000000086004
5.0,3.2,1.2,0.2,2.0,-2.2107997074105e-10,-1.6558976117899077e-10,1.0000000001068503
5.5,3.5,1.3,0.2,2.0,-2.1787627154200547e-10,-1.539208333539003e-10,1.000000000092077
4.9,3.1,1.5,0.1,2.0,-2.1855656828200415e-10,-1.4725709135966694e-10,1.000000000086004
4.4,3.0,1.3,0.2,2.0,-2.2218585789750696e-10,-1.6713510464412218e-10,1.0000000001097809
5.1,3.4,1.5,0.2,2.0,-2.1724444058292188e-10,-1.4519810891437343e-10,1.0000000000825573
5.0,3.5,1.3,0.3,2.0,-2.199162914798312e-10,-1.6141115737585255e-10,1.0000000001014573
4.5,2.3,1.3,0.3,2.0,-2.2081532172445264e-10,-1.5044305326826638e-10,1.000000000092315
4.4,3.2,1.3,0.2,2.0,-2.2234562370796951e-10,-1.6998505427080503e-10,1.000000000112712
5.0,3.5,1.6,0.6,2.0,-2.1355314342687086e-10,-1.2463452916441027e-10,1.0000000000583888
5.1,3.8,1.9,0.4,2.0,-2.0850548213870635e-10,-1.0163117263534955e-10,1.000000000030472
4.8,3.0,1.4,0.3,2.0,-2.1913183709958703e-10,-1.4928278559625078e-10,1.0000000000886604
5.1,3.8,1.6,0.2,2.0,-2.1632866344643367e-10,-1.45107257640115e-10,1.0000000000816514
4.6,3.2,1.4,0.2,2.0,-2.2073693703202736e-10,-1.6024370391207137e-10,1.0000000001012228
5.3,3.7,1.5,0.2,2.0,-2.164437882883757e-10,-1.4655253762458016e-10,1.000000000083208
5.0,3.3,1.4,0.2,2.0,-2.1900932547189694e-10,-1.5365907960747917e-10,1.0000000000927878
7.0,3.2,4.7,1.4,0.0,0.9999999982819326,1.6393396344201075e-09,-2.005538571577298e-10
6.4,3.2,4.5,1.5,1.0,2.366746973221244e-09,0.9999999975395428,-1.8538293441882759e-10
6.9,3.1,4.9,1.5,0.0,0.9999999990311248,8.96685457734016e-10,-2.0739288689510728e-10
5.5,2.3,4.0,1.3,1.0,2.2210303687765027e-11,0.999999999847664,-1.4914003296899027e-10
6.5,2.8,4.6,1.5,1.0,4.371847032061896e-09,0.9999999955426684,-1.9362900654728967e-10
5.7,2.8,4.5,1.3,1.0,2.9182087258102543e-10,0.9999999996058831,-1.7713859591929187e-10
6.3,3.3,4.7,1.6,1.0,2.265053022814919e-05,0.9999773493830236,-1.9223736776769982e-10
4.9,2.4,3.3,1.0,1.0,-1.1266847995847411e-10,0.9999999997590964,7.532484004408174e-11
6.6,2.9,4.6,1.3,1.0,4.064260512091667e-09,0.9999999958478276,-1.91106696148543e-10
5.2,2.7,3.9,1.4,1.0,-6.785035496446939e-12,0.9999999998523292,-1.2471097040379026e-10
5.0,2.0,3.5,1.0,1.0,-1.0080033487326463e-10,0.999999999870789,-4.8294511554589325e-11
5.9,3.0,4.2,1.5,1.0,2.765622758311244e-10,0.999999999609335,-1.6531983536420578e-10
6.0,2.2,4.0,1.0,1.0,5.893300080082028e-11,0.9999999998151268,-1.5323304256735355e-10
6.1,2.9,4.7,1.4,1.0,1.3277512024591842e-09,0.9999999985838594,-1.9090771458736428e-10
5.6,2.9,3.6,1.3,1.0,-1.2023319932219376e-11,0.999999999817852,-8.499627260240295e-11
6.7,3.1,4.4,1.4,1.0,2.932768742267946e-09,0.9999999969725644,-1.8424351186097936e-10
5.6,3.0,4.5,1.5,1.0,3.4699817096949777e-10,0.9999999995508332,-1.7719224417741718e-10
5.8,2.7,4.1,1.0,1.0,7.810192988785086e-11,0.9999999997889552,-1.4644700175909976e-10
6.2,2.2,4.5,1.5,1.0,6.144602539005572e-10,0.9999999992987284,-1.923649955314949e-10
5.6,2.5,3.9,1.1,1.0,6.602122668253126e-12,0.9999999998440596,-1.2996450098044474e-10
5.9,3.2,4.8,1.8,1.0,6.108947493953845e-09,0.999999993807078,-1.950677993154327e-10
6.1,2.8,4.0,1.3,1.0,1.6917204079766927e-10,0.9999999997046782,-1.532424591661257e-10
6.3,2.5,4.9,1.5,1.0,6.564561718225824e-08,0.999999934277752,-2.024140700452779e-10
6.1,2.8,4.7,1.2,1.0,8.698581715096653e-10,0.9999999990397812,-1.8893684044748918e-10
6.4,2.9,4.3,1.3,1.0,6.033914484296164e-10,0.9999999992934402,-1.7608941766793263e-10
6.6,3.0,4.4,1.4,1.0,1.7338771718094926e-09,0.999999998171136,-1.8406556983371783e-10
6.8,2.8,4.8,1.4,0.0,0.9999999964272396,3.495908777693903e-09,-2.0257084911378908e-10
6.7,3.0,5.0,1.7,0.0,0.9999999991376072,7.929468580583601e-10,-2.1033710821999962e-10
6.0,2.9,4.5,1.5,1.0,6.485207415978883e-10,0.9999999992557272,-1.8364713277678529e-10
5.7,2.6,3.5,1.0,1.0,-4.497882627991184e-11,0.9999999998275296,-6.15826552763408e-11
5.5,2.4,3.8,1.1,1.0,-2.3112056198643617e-11,0.9999999998615404,-1.1761289370403615e-10
5.5,2.4,3.7,1.0,1.0,-4.2540148729044115e-11,0.9999999998611072,-9.7650512682011e-11
5.8,2.7,3.9,1.2,1.0,5.245191380283637e-11,0.9999999998032796,-1.351222091072879e-10
6.0,2.7,5.1,1.6,0.0,0.997365280324019,0.0026347196012197,-2.0467654925730167e-10
5.4,3.0,4.5,1.5,1.0,2.527602055470408e-10,0.9999999996421828,-1.7422408227009035e-10
6.0,3.4,4.5,1.6,1.0,1.0610535593577775e-09,0.9999999988397508,-1.799191749626068e-10
6.7,3.1,4.7,1.5,0.0,0.999999993792313,6.126014005664878e-09,-1.9774755214015603e-10
6.3,2.3,4.4,1.3,1.0,4.6534421895241975e-10,0.9999999994414044,-1.8596516285356327e-10
5.6,3.0,4.1,1.3,1.0,9.999968397361591e-11,0.9999999997659288,-1.4532086828356434e-10
5.5,2.5,4.0,1.3,1.0,3.098469462851456e-11,0.999999999834532,-1.4486364777802372e-10
5.5,2.6,4.4,1.2,1.0,1.3099732066699778e-10,0.999999999758769,-1.6914931764666322e-10
6.1,3.0,4.6,1.4,1.0,9.96508211012105e-10,0.9999999989104508,-1.8627720445344802e-10
5.8,2.6,4.0,1.2,1.0,7.153309048621233e-11,0.999999999795903,-1.4685520426217944e-10
5.0,2.3,3.3,1.0,1.0,-1.0979432585343132e-10,0.9999999997844422,4.7043546140452765e-11
5.6,2.7,4.2,1.3,1.0,1.1039054269403335e-10,0.9999999997692794,-1.5912073434779578e-10
5.7,3.0,4.2,1.2,1.0,1.3964899039524807e-10,0.999999999733698,-1.5276032949735938e-10
5.7,2.9,4.2,1.3,1.0,1.4959646891232392e-10,0.999999999728602,-1.5765267007319258e-10
6.2,2.9,4.3,1.3,1.0,4.2720981409479637e-10,0.9999999994664605,-1.7304602174984932e-10
5.1,2.5,3.0,1.1,1.0,-1.1824100767383835e-10,0.9999999995651374,2.7498927414242347e-10
5.7,2.8,4.1,1.3,1.0,1.0718804333868213e-10,0.9999999997652904,-1.5193468103292943e-10
6.3,3.3,6.0,2.5,0.0,0.9999999999309702,1.4373593006342182e-11,-2.2493956415961735e-10
5.8,2.7,5.1,1.9,0.0,0.9998259711476414,0.0001740287790979,-2.060691383872496e-10
7.1,3.0,5.9,2.1,0.0,0.9999999999608632,-1.5342781542834112e-11,-2.2536898390849718e-10
6.3,2.9,5.6,1.8,0.0,0.9999999996202724,3.190206308298425e-10,-2.1918793514268788e-10
