sepal_length,sepal_width,petal_length,petal_width,cluster,u1,u2,u3,J,F
5.1,3.5,1.4,0.2,1,1.4512125150096519e-55,1.0,6.462483105543934e-26,78.53701055268826,85.42775624108046
4.9,3.0,1.4,0.2,1,2.1093147298185804e-56,1.0,3.201049637443977e-25,78.53701055268826,85.42775624108046
4.7,3.2,1.3,0.2,1,3.838632843333322e-60,1.0,7.642006350928044e-28,78.53701055268826,85.42775624108046
4.6,3.1,1.5,0.2,1,4.257260057401674e-57,1.0,2.139303366342249e-25,78.53701055268826,85.42775624108046
5.0,3.6,1.4,0.2,1,1.6380337981887585e-56,1.0,1.3613294797277328e-26,78.53701055268826,85.42775624108046
5.4,3.9,1.7,0.4,1,1.1501658009747851e-46,1.0,4.243875999869465e-21,78.53701055268826,85.42775624108046
4.6,3.4,1.4,0.3,1,1.3187959678670144e-58,1.0,4.9835293863708265e-27,78.53701055268826,85.42775624108046
5.0,3.4,1.5,0.2,1,2.2989849211138777e-54,1.0,9.733112194800711e-25,78.53701055268826,85.42775624108046
4.4,2.9,1.4,0.2,1,3.1138300316537827e-60,1.0,7.556818262389186e-27,78.53701055268826,85.42775624108046
4.9,3.1,1.5,0.1,1,1.6941990017526e-55,1.0,9.287014895254143e-25,78.53701055268826,85.42775624108046
5.4,3.7,1.5,0.2,1,1.2414866830415598e-51,1.0,4.428239327204534e-24,78.53701055268826,85.42775624108046
4.8,3.4,1.6,0.2,1,4.1108636665637245e-54,1.0,3.087932987350929e-24,78.53701055268826,85.42775624108046
4.8,3.0,1.4,0.1,1,5.4761146753091016e-58,1.0,4.0485835668525166e-26,78.53701055268826,85.42775624108046
4.3,3.0,1.1,0.1,1,1.6639802815305183e-67,1.0,7.588811375825843e-32,78.53701055268826,85.42775624108046
5.8,4.0,1.2,0.2,1,1.9539008206819334e-54,1.0,3.137418298558416e-27,78.53701055268826,85.42775624108046
5.7,4.4,1.5,0.4,1,1.0102499967983e-48,1.0,6.002644481508349e-24,78.53701055268826,85.42775624108046
5.4,3.9,1.3,0.4,1,4.788135806293311e-54,1.0,3.555592652359649e-26,78.53701055268826,85.42775624108046
5.1,3.5,1.4,0.3,1,8.93355042622496e-55,1.0,2.111010796015899e-25,78.53701055268826,85.42775624108046
5.7,3.8,1.7,0.3,1,6.480776955212308e-45,1.0,3.613302802305751e-20,78.53701055268826,85.42775624108046
5.1,3.8,1.5,0.3,1,2.2033091634971063e-53,1.0,5.20103064443119e-25,78.53701055268826,85.42775624108046
5.4,3.4,1.7,0.2,1,1.727174472837186e-47,1.0,1.154170954270295e-20,78.53701055268826,85.42775624108046
5.1,3.7,1.5,0.4,1,1.920440703352401e-52,1.0,3.332102486281616e-24,78.53701055268826,85.42775624108046
4.6,3.6,1.0,0.2,1,4.4486247680107637e-67,1.0,3.322917012646145e-33,78.53701055268826,85.42775624108046
5.1,3.3,1.7,0.5,1,2.328737350719237e-47,1.0,5.563990051099451e-20,78.53701055268826,85.42775624108046
4.8,3.4,1.9,0.2,1,1.4105177858040394e-48,1.0,1.9829231422354343e-20,78.53701055268826,85.42775624108046
5.0,3.0,1.6,0.2,1,6.468657453479404e-52,1.0,2.67680058556027e-22,78.53701055268826,85.42775624108046
5.0,3.4,1.6,0.4,1,6.099170536244826e-51,1.0,1.9303962633731601e-22,78.53701055268826,85.42775624108046
5.2,3.5,1.5,0.2,1,6.357045000824768e-53,1.0,2.9074373100380734e-24,78.53701055268826,85.42775624108046
5.2,3.4,1.4,0.2,1,1.2856986016096717e-54,1.0,3.067860390255713e-25,78.53701055268826,85.42775624108046
4.7,3.2,1.6,0.2,1,1.3171100619882672e-54,1.0,4.907331638490533e-24,78.53701055268826,85.42775624108046
4.8,3.1,1.6,0.2,1,1.1668908222260246e-53,1.0,2.3296011934883718e-23,78.53701055268826,85.42775624108046
5.4,3.4,1.5,0.4,1,1.3354430485064665e-49,1.0,3.5647318377909933e-22,78.53701055268826,85.42775624108046
5.2,4.1,1.5,0.1,1,1.2816454718981983e-54,1.0,1.5638384946574195e-26,78.53701055268826,85.42775624108046
5.5,4.2,1.4,0.2,1,1.9498779324586403e-53,1.0,1.9871340181151234e-26,78.53701055268826,85.42775624108046
4.9,3.1,1.5,0.1,1,1.6941990017526e-55,1.0,9.287014895254143e-25,78.53701055268826,85.42775624108046
5.0,3.2,1.2,0.2,1,1.3432455075407472e-59,1.0,5.830281498745705e-28,78.53701055268826,85.42775624108046
5.5,3.5,1.3,0.2,1,3.1775003724823403e-54,1.0,1.1933829190729957e-25,78.53701055268826,85.42775624108046
4.9,3.1,1.5,0.1,1,1.6941990017526e-55,1.0,9.287014895254143e-25,78.53701055268826,85.42775624108046
4.4,3.0,1.3,0.2,1,3.1413333280479945e-62,1.0,2.072947971293845e-28,78.53701055268826,85.42775624108046
5.1,3.4,1.5,0.2,1,1.4385067229897178e-53,1.0,2.3558628112539835e-24,78.53701055268826,85.42775624108046
5.0,3.5,1.3,0.3,1,2.0393878256839543e-57,1.0,4.692232419860849e-27,78.53701055268826,85.42775624108046
4.5,2.3,1.3,0.3,1,1.3804146407837297e-59,1.0,1.829544736099344e-25,78.53701055268826,85.42775624108046
4.4,3.2,1.3,0.2,1,1.5669287724395669e-62,1.0,5.389054716531083e-29,78.53701055268826,85.42775624108046
5.0,3.5,1.6,0.6,1,1.6323923453015364e-49,1.0,1.0502450203852053e-21,78.53701055268826,85.42775624108046
5.1,3.8,1.9,0.4,1,3.2580857406125855e-45,1.0,2.0278280778763512e-19,78.53701055268826,85.42775624108046
4.8,3.0,1.4,0.3,1,2.075193939548116e-56,1.0,4.320014208287026e-25,78.53701055268826,85.42775624108046
5.1,3.8,1.6,0.2,1,2.505710310932832e-52,1.0,2.9594502968164967e-24,78.53701055268826,85.42775624108046
4.6,3.2,1.4,0.2,1,4.294862843679832e-59,1.0,5.868428244877806e-27,78.53701055268826,85.42775624108046
5.3,3.7,1.5,0.2,1,1.984112495591456e-52,1.0,1.8295017006600814e-24,78.53701055268826,85.42775624108046
5.0,3.3,1.4,0.2,1,4.649647277649228e-56,1.0,1.0270154157151164e-25,78.53701055268826,85.42775624108046
7.0,3.2,4.7,1.4,0,0.5414630249741332,4.228473293569255e-32,0.4585369750258666,78.53701055268826,85.42775624108046
6.4,3.2,4.5,1.5,2,0.0005253292607744,1.9602205349249634e-27,0.9994746707392256,78.53701055268826,85.42775624108046
6.9,3.1,4.9,1.5,0,0.8981283601570867,1.0273218226646376e-35,0.1018716398429132,78.53701055268826,85.42775624108046
5.5,2.3,4.0,1.3,2,2.0171088510053736e-12,3.083342935181292e-19,0.9999999999979828,78.53701055268826,85.42775624108046
6.5,2.8,4.6,1.5,2,0.0013881862767359,2.9421667656563517e-30,0.998611813723264,78.53701055268826,85.42775624108046
5.7,2.8,4.5,1.3,2,5.21063989626525e-08,6.884167653358178e-25,0.999999947893601,78.53701055268826,85.42775624108046
6.3,3.3,4.7,1.6,2,0.0074731512912575,8.188327428303424e-30,0.9925268487087424,78.53701055268826,85.42775624108046
4.9,2.4,3.3,1.0,2,1.3008028868276467e-19,3.248700889558103e-06,0.9999967512991104,78.53701055268826,85.42775624108046
6.6,2.9,4.6,1.3,2,0.0013996572436701,2.543806081500997e-29,0.9986003427563298,78.53701055268826,85.42775624108046
5.2,2.7,3.9,1.4,2,2.150726168295333e-13,3.681204015219197e-16,0.9999999999997846,78.53701055268826,85.42775624108046
5.0,2.0,3.5,1.0,2,1.295805971619012e-18,2.6256444170127234e-10,0.9999999997374356,78.53701055268826,85.42775624108046
5.9,3.0,4.2,1.5,2,4.4407234593944026e-08,2.7201112309912198e-22,0.9999999555927654,78.53701055268826,85.42775624108046
6.0,2.2,4.0,1.0,2,2.5119165712126138e-11,6.595772864210996e-20,0.9999999999748808,78.53701055268826,85.42775624108046
6.1,2.9,4.7,1.4,2,8.616738271726676e-05,3.485318704594488e-29,0.9999138326172828,78.53701055268826,85.42775624108046
5.6,2.9,3.6,1.3,2,1.830192043551137e-13,8.653696818505548e-13,0.9999999999989516,78.53701055268826,85.42775624108046
6.7,3.1,4.4,1.4,2,0.0009226734605215,4.277630272565568e-27,0.9990773265394786,78.53701055268826,85.42775624108046
5.6,3.0,4.5,1.5,2,1.3734999515529968e-07,6.006803290162715e-25,0.9999998626500048,78.53701055268826,85.42775624108046
5.8,2.7,4.1,1.0,2,7.219608208193925e-11,6.033079888943949e-19,0.999999999927804,78.53701055268826,85.42775624108046
6.2,2.2,4.5,1.5,2,3.024462910238637e-06,1.3644239016150597e-29,0.9999969755370895,78.53701055268826,85.42775624108046
5.6,2.5,3.9,1.1,2,7.479593027065253e-13,9.718385245202671e-17,0.999999999999252,78.53701055268826,85.42775624108046
5.9,3.2,4.8,1.8,2,0.0016254715507788,7.267865044146259e-31,0.9983745284492213,78.53701055268826,85.42775624108046
6.1,2.8,4.0,1.3,2,3.069884073050938e-09,4.4496079637839744e-20,0.999999996930116,78.53701055268826,85.42775624108046
