sepal_length,sepal_width,petal_length,petal_width,cluster,u1,u2,u3,J,F
5.1,3.5,1.4,0.2,1,1.4512125150096519e-55,1.0,6.462483105543934e-26,78.53701055268826,85.42775624108046
4.9,3.0,1.4,0.2,1,2.1093147298185804e-56,1.0,3.2010496374439775e-25,78.53701055268826,85.42775624108046
4.7,3.2,1.3,0.2,1,3.8386328433333227e-60,1.0,7.6420063509280455e-28,78.53701055268826,85.42775624108046
4.6,3.1,1.5,0.2,1,4.257260057401674e-57,1.0,2.139303366342249e-25,78.53701055268826,85.42775624108046
5.0,3.6,1.4,0.2,1,1.6380337981887583e-56,1.0,1.3613294797277328e-26,78.53701055268826,85.42775624108046
5.4,3.9,1.7,0.4,1,1.150165800974785e-46,1.0,4.243875999869465e-21,78.53701055268826,85.42775624108046
4.6,3.4,1.4,0.3,1,1.3187959678670144e-58,1.0,4.983529386370827e-27,78.53701055268826,85.42775624108046
5.0,3.4,1.5,0.2,1,2.298984921113878e-54,1.0,9.733112194800713e-25,78.53701055268826,85.42775624108046
4.4,2.9,1.4,0.2,1,3.1138300316537827e-60,1.0,7.556818262389186e-27,78.53701055268826,85.42775624108046
4.9,3.1,1.5,0.1,1,1.6941990017526e-55,1.0,9.287014895254145e-25,78.53701055268826,85.42775624108046
5.4,3.7,1.5,0.2,1,1.2414866830415598e-51,1.0,4.428239327204534e-24,78.53701055268826,85.42775624108046
4.8,3.4,1.6,0.2,1,4.110863666563725e-54,1.0,3.0879329873509295e-24,78.53701055268826,85.42775624108046
4.8,3.0,1.4,0.1,1,5.4761146753091016e-58,1.0,4.0485835668525166e-26,78.53701055268826,85.42775624108046
4.3,3.0,1.1,0.1,1,1.6639802815305183e-67,1.0,7.588811375825843e-32,78.53701055268826,85.42775624108046
5.8,4.0,1.2,0.2,1,1.9539008206819336e-54,1.0,3.137418298558416e-27,78.53701055268826,85.42775624108046
5.7,4.4,1.5,0.4,1,1.0102499967982999e-48,1.0,6.002644481508349e-24,78.53701055268826,85.42775624108046
5.4,3.9,1.3,0.4,1,4.788135806293311e-54,1.0,3.555592652359649e-26,78.53701055268826,85.42775624108046
5.1,3.5,1.4,0.3,1,8.93355042622496e-55,1.0,2.111010796015899e-25,78.53701055268826,85.42775624108046
