sepal_length,sepal_width,petal_length,petal_width,cluster,u0,u1,u2,J,F,F2
5.1,3.5,1.4,0.2,1,0.0606111436688896,0.8852282321039391,0.0541606242270608,29.289735663504533,835.9584066789748,787.901128548432
4.9,3.0,1.4,0.2,1,0.1081129183454847,0.8103303502113771,0.0815567314428469,29.289735663504533,835.9584066789748,787.901128548432
4.7,3.2,1.3,0.2,1,0.1017564853904254,0.8200534277620937,0.0781900868471828,29.289735663504533,835.9584066789748,787.901128548432
4.6,3.1,1.5,0.2,1,0.1225510602128476,0.7868523759474761,0.090596563839308,29.289735663504533,835.9584066789748,787.901128548432
5.0,3.6,1.4,0.2,1,0.0702859725751806,0.8701021416108267,0.0596118858138636,29.289735663504533,835.9584066789748,787.901128548432
5.4,3.9,1.7,0.4,1,0.1668823131525924,0.7115847979356136,0.1215328889113482,29.289735663504533,835.9584066789748,787.901128548432
4.6,3.4,1.4,0.3,1,0.1043277176284143,0.8157678858312101,0.0799043965400767,29.289735663504533,835.9584066789748,787.901128548432
5.0,3.4,1.5,0.2,1,0.0404210510217762,0.9154324638319332,0.044146485146159,29.289735663504533,835.9584066789748,787.901128548432
4.4,2.9,1.4,0.2,1,0.1642420727045829,0.7172285636674512,0.1185293636274334,29.289735663504533,835.9584066789748,787.901128548432
4.9,3.1,1.5,0.1,1,0.0946099036878878,0.8322542974067566,0.0731357989051423,29.289735663504533,835.9584066789748,787.901128548432
5.4,3.7,1.5,0.2,1,0.1276897724330137,0.7762943071002303,0.0960159204663944,29.289735663504533,835.9584066789748,787.901128548432
4.8,3.4,1.6,0.2,1,0.0731602375477089,0.8660764430839639,0.0607633193682025,29.289735663504533,835.9584066789748,787.901128548432
4.8,3.0,1.4,0.1,1,0.1168330921585901,0.7959663699645162,0.0872005378765416,29.289735663504533,835.9584066789748,787.901128548432
4.3,3.0,1.1,0.1,1,0.1697140793222931,0.7052980779800382,0.124987842697091,29.289735663504533,835.9584066789748,787.901128548432
5.8,4.0,1.2,0.2,1,0.1960884640354726,0.6560314753728217,0.1478800605911647,29.289735663504533,835.9584066789748,787.901128548432
5.7,4.4,1.5,0.4,1,0.2235551909983301,0.6081545227379679,0.1682902862632336,29.289735663504533,835.9584066789748,787.901128548432
